도,시,행정구역코드,발전설비유무,격자X,격자Y,경도(초/100),위도(초/100)
경기도,평택시,4122000000,유,62,114,127.1146556,36.98943889
경기도,안성시,4155000000,유,65,115,127.2818444,37.005175
경기도,이천시,4150000000,유,68,121,127.4432194,37.27543611
경기도,여주시,4167000000,유,71,121,127.6396222,37.29535833
경기도,양평군,4183000000,무,69,125,127.4898861,37.48893611
경기도,가평군,4182000000,무,69,133,127.5117778,37.82883056
경기도,포천시,4165000000,유,64,134,127.2024194,37.89215556
경기도,연천군,4180000000,유,61,138,127.0770667,38.09336389
경기도,파주시,4148000000,유,56,131,126.7819528,37.75708333
경기도,김포시,4157000000,유,55,128,126.7177778,37.61245833
경기도,고양시일산동구,4128500000,유,56,129,126.7770556,37.65590833
경기도,고양시일산서구,4128700000,무,56,129,126.7527778,37.67248611
경기도,고양시덕양구,4128100000,유,57,128,126.8341972,37.63458333
경기도,부천시,4119000000,유,57,125,126.786997,37.49659252
경기도,광명시,4121000000,유,58,125,126.8667083,37.47575
경기도,시흥시,4139000000,유,57,123,126.8050778,37.37731944
경기도,안산시단원구,4127300000,유,57,121,126.8144194,37.31672778
경기도,화성시,4159000000,유,57,119,126.8335306,37.19681667
경기도,오산시,4137000000,유,62,118,127.0796417,37.14691389
경기도,용인시처인구,4137000000,유,62,118,127.0796417,37.14691389
경기도,용인시기흥구,4146300000,유,62,120,127.1167889,37.27759722
경기도,수원시영통구,4111700000,무,61,120,127.0486333,37.25631111
경기도,수원시팔달구,4111500000,무,61,121,127.0378333,37.28310278
경기도,수원시권선구,4111300000,무,60,120,126.974075,37.25473333
경기도,수원시장안구,4111100000,무,60,121,127.0122222,37.30101111
경기도,용인시수지구,4146500000,무,62,121,127.1000972,37.31938611
경기도,안산시상록구,4127100000,무,58,121,126.8468194,37.29851944
경기도,군포시,4141000000,무,59,122,126.9375,37.35865833
경기도,의왕시,4143000000,무,60,122,126.9703889,37.34195
경기도,성남시분당구,4113500000,무,62,123,127.1210194,37.37996944
경기도,안양시만안구,4117100000,무,59,123,126.9345,37.38377778
경기도,안양시동안구,4117300000,무,59,123,126.9533556,37.3897
경기도,과천시,4129000000,무,60,124,126.9898,37.42637222
경기도,성남시수정구,4113100000,무,63,124,127.1477194,37.44749167
경기도,성남시중원구,4113300000,무,63,124,127.1394194,37.42766944
경기도,광주시,4161000000,유,65,123,127.2577861,37.41450556
경기도,하남시,4145000000,무,64,126,127.217,37.53649722
경기도,남양주시,4136000000,유,64,128,127.2186333,37.63317778
경기도,구리시,4131000000,무,62,127,127.1318639,37.591625
경기도,양주시,4163000000,유,61,131,127.0478194,37.78245
경기도,의정부시,4115000000,유,61,130,127.0358417,37.73528889
경기도,동두천시,4125000000,유,61,134,127.0626528,37.90091667
서울특별시,강서구,1150000000,유,58,126,126.851675,37.54815556
서울특별시,양천구,1147000000,무,58,126,126.8687083,37.51423056
서울특별시,구로구,1153000000,무,58,125,126.8895972,37.49265
서울특별시,금천구,1154500000,무,59,124,126.9041972,37.44910833
서울특별시,은평구,1138000000,무,59,127,126.9312417,37.59996944
서울특별시,서대문구,1141000000,무,59,127,126.9388972,37.57636667
서울특별시,마포구,1144000000,유,59,127,126.9105306,37.56070556
서울특별시,영등포구,1156000000,무,58,126,126.8983417,37.52361111
서울특별시,동작구,1159000000,무,59,125,126.941575,37.50965556
서울특별시,관악구,1162000000,무,59,125,126.9538444,37.47538611
서울특별시,종로구,1111000000,무,60,127,126.9816417,37.57037778
서울특별시,중구,1114000000,무,60,127,126.9996417,37.56100278
서울특별시,용산구,1117000000,무,60,126,126.9675222,37.53609444
서울특별시,도봉구,1132000000,무,61,129,127.0495222,37.66583333
서울특별시,강북구,1130500000,무,61,128,127.0277194,37.63695556
서울특별시,성북구,1129000000,무,61,127,127.0203333,37.58638333
서울특별시,동대문구,1123000000,무,61,127,127.0421417,37.571625
서울특별시,성동구,1120000000,유,61,127,127.039,37.56061111
서울특별시,강남구,1168000000,무,61,126,127.0495556,37.514575
서울특별시,서초구,1165000000,유,61,125,127.0348111,37.48078611
서울특별시,노원구,1135000000,무,61,129,127.0583889,37.65146111
서울특별시,중랑구,1126000000,무,62,128,127.0947778,37.60380556
서울특별시,광진구,1121500000,유,62,126,127.0845333,37.53573889
서울특별시,송파구,1171000000,무,62,126,127.1079306,37.51175556
서울특별시,강동구,1174000000,유,62,126,127.1258639,37.52736667
인천광역시,옹진군,2872000000,유,54,124,126.6388889,37.443725
인천광역시,강화군,2871000000,유,51,130,126.49,37.74385833
인천광역시,중구,2811000000,유,54,125,126.6235667,37.47093333
인천광역시,서구,2826000000,유,55,126,126.6782,37.54269167
인천광역시,동구,2814000000,무,54,125,126.6453667,37.47103611
인천광역시,남구,2817000000,무,56,124,126.7337972,37.44451944
인천광역시,연수구,2818500000,무,55,123,126.6804417,37.40712222
인천광역시,계양구,2824500000,유,56,126,126.7397528,37.53479167
인천광역시,부평구,2823700000,무,55,125,126.7241,37.50426667
인천광역시,남동구,2820000000,유,56,124,126.7337972,37.44451944
강원특별자치도,철원군,4278000000,유,65,139,127.3157333,38.14405556
강원특별자치도,화천군,4279000000,무,72,139,127.7103556,38.10340833
강원특별자치도,양구군,4280000000,유,77,139,127.9922444,38.10729167
강원특별자치도,인제군,4281000000,유,80,138,128.1726972,38.06697222
강원특별자치도,고성군,4282000000,유,85,145,128.4701639,38.37796111
강원특별자치도,속초시,4221000000,무,87,141,128.5941667,38.204275
강원특별자치도,춘천시,4211000000,유,73,134,127.7323111,37.87854167
강원특별자치도,양양군,4283000000,유,88,138,128.6213556,38.07283333
강원특별자치도,홍천군,4272000000,유,75,130,127.8908417,37.69442222
강원특별자치도,횡성군,4273000000,유,77,125,127.9872222,37.48895833
강원특별자치도,평창군,4276000000,유,84,123,128.3923528,37.36791667
강원특별자치도,강릉시,4215000000,유,92,131,128.8784972,37.74913611
강원특별자치도,원주시,4213000000,유,76,122,127.9220556,37.33908333
강원특별자치도,영월군,4275000000,유,86,119,128.4640194,37.18086111
강원특별자치도,정선군,4277000000,유,89,123,128.6630861,37.37780833
강원특별자치도,동해시,4217000000,유,97,127,129.1166333,37.52193056
강원특별자치도,태백시,4219000000,유,95,119,128.9879972,37.16122778
강원특별자치도,삼척시,4223000000,유,98,125,129.1674889,37.44708611
충청북도,단양군,4377000000,유,72,113,127.6926222,36.93740556
충청북도,제천시,4311200000,무,69,107,127.4832889,36.63726111
충청북도,충주시,4311100000,유,69,106,127.5117306,36.58399722
충청북도,음성군,4376000000,유,74,111,127.7888306,36.81243056
충청북도,진천군,4374500000,유,71,110,127.5832889,36.78218056
충청북도,증평군,4380000000,유,84,115,128.3678417,36.98178056
충청북도,괴산군,4375000000,유,68,111,127.4376444,36.85253889
충청북도,청주시청원구,4315000000,유,81,118,128.1931528,37.12976944
충청북도,청주시흥덕구,4313000000,유,76,114,127.9281444,36.98818056
충청북도,청주시서원구,4311400000,유,69,107,127.4876639,36.64430556
충청북도,청주시상당구,4311300000,유,67,106,127.3594194,36.6182
충청북도,보은군,4372000000,유,73,103,127.7316083,36.48653333
충청북도,옥천군,4373000000,유,71,99,127.5736333,36.30355
충청북도,영동군,4374000000,유,74,97,127.7856111,36.17205833
대전광역시,유성구,3020000000,유,67,101,127.3583417,36.35936667
대전광역시,대덕구,3023000000,유,68,100,127.4176861,36.34379444
대전광역시,동구,3011000000,무,68,100,127.4348528,36.32413333
대전광역시,중구,3014000000,유,68,100,127.4231111,36.32263056
대전광역시,서구,3017000000,유,67,100,127.385775,36.35248333
세종특별자치시,세종시,3611000000,무,66,103,127.2890691,36.4800121
충청남도,태안군,4482500000,유,48,109,126.299975,36.74266667
충청남도,서산시,4421000000,유,51,110,126.4521639,36.78209722
충청남도,당진시,4427000000,유,54,112,126.6302528,36.89075
충청남도,아산시,4420000000,유,60,110,127.0046417,36.78710556
충청남도,천안시서북구,4413300000,유,63,112,127.1571972,36.87555833
충청남도,천안시동남구,4413100000,유,63,110,127.1524667,36.804125
충청남도,보령시,4418000000,유,54,100,126.6148861,36.330575
충청남도,홍성군,4480000000,유,55,106,126.6629083,36.59836111
충청남도,예산군,4481000000,유,58,107,126.850875,36.67980556
충청남도,청양군,4479000000,유,57,103,126.8042556,36.45626944
충청남도,공주시,4415000000,유,63,102,127.1211194,36.44361389
충청남도,서천군,4477000000,유,55,94,126.6938889,36.07740556
충청남도,부여군,4476000000,유,59,99,126.9118639,36.27282222
충청남도,논산시,4423000000,유,62,97,127.1009111,36.18420278
충청남도,계룡시,4425000000,무,65,99,127.2509306,36.27183611
충청남도,금산군,4471000000,유,69,95,127.4903083,36.10586944
전북특별자치도,군산시,4513000000,유,56,92,126.7388444,35.96464167
전북특별자치도,익산시,4514000000,유,60,91,126.9598528,35.945275
전북특별자치도,완주군,4571000000,유,63,89,127.1495972,35.84296944
전북특별자치도,진안군,4572000000,유,68,88,127.4269667,35.78871944
전북특별자치도,무주군,4573000000,무,72,93,127.6628667,36.00382778
전북특별자치도,김제시,4521000000,유,59,88,126.8827528,35.800575
전북특별자치도,전주시덕진구,4511300000,유,63,89,127.1364194,35.82638611
전북특별자치도,전주시완산구,4511100000,유,63,89,127.1219194,35.80918889
전북특별자치도,부안군,4580000000,유,56,87,126.7356778,35.72853333
전북특별자치도,정읍시,4518000000,유,58,83,126.8581111,35.56687222
전북특별자치도,임실군,4575000000,유,66,84,127.2847528,35.60806389
전북특별자치도,장수군,4574000000,유,70,85,127.5233,35.64429722
전북특별자치도,고창군,4579000000,유,56,80,126.7041083,35.43273889
전북특별자치도,순창군,4577000000,유,63,79,127.1396306,35.37138889
전북특별자치도,남원시,4519000000,유,68,80,127.3925,35.41325556
광주광역시,광산구,2920000000,유,57,74,126.7957889,35.13642778
광주광역시,북구,2917000000,유,59,75,126.9141222,35.171125
광주광역시,서구,2914000000,유,59,74,126.8934111,35.14948333
광주광역시,남구,2915500000,유,59,73,126.9101444,35.11903611
광주광역시,동구,2911000000,유,60,74,126.9251778,35.1431
전라남도,영광군,4687000000,유,52,77,126.5140861,35.27416667
전라남도,장성군,4688000000,유,57,77,126.786975,35.29881111
전라남도,담양군,4671000000,유,61,78,126.9901639,35.318125
전라남도,곡성군,4672000000,유,66,77,127.2941083,35.27895556
전라남도,구례군,4673000000,유,69,75,127.4649333,35.19945833
전라남도,함평군,4686000000,유,52,72,126.5186194,35.06274444
전라남도,나주시,4617000000,유,56,71,126.7128667,35.01283889
전라남도,화순군,4679000000,유,61,72,126.9885667,35.06148056
전라남도,순천시,4615000000,유,70,70,127.4893306,34.94760556
전라남도,광양시,4623000000,유,73,70,127.6981778,34.93753611
전라남도,신안군,4691000000,유,50,66,126.3817306,34.78981111
전라남도,목포시,4611000000,유,50,67,126.3944194,34.80878889
전라남도,영암군,4683000000,유,56,66,126.6986194,34.79698889
전라남도,장흥군,4680000000,유,59,64,126.9091083,34.678525
전라남도,보성군,4678000000,유,62,66,127.0820889,34.76833333
전라남도,진도군,4690000000,유,48,59,126.2655444,34.48375
전라남도,해남군,4682000000,유,54,61,126.6012889,34.57043611
전라남도,강진군,4681000000,유,57,63,126.7691972,34.63891111
전라남도,고흥군,4677000000,유,66,62,127.2870556,34.60806944
전라남도,여수시,4613000000,유,73,66,127.6643861,34.75731111
전라남도,완도군,4689000000,유,57,56,126.7570972,34.30785278
경상북도,문경시,4728000000,유,81,106,128.1890194,36.58363056
경상북도,예천군,4790000000,유,86,107,128.4550222,36.65495
경상북도,영주시,4721000000,유,89,111,128.6263444,36.80293611
경상북도,봉화군,4792000000,유,90,113,128.734875,36.89026111
경상북도,울진군,4793000000,유,102,115,129.4027861,36.99018611
경상북도,상주시,4725000000,유,81,102,128.1612639,36.40796944
경상북도,안동시,4717000000,유,91,106,128.7316222,36.56546389
경상북도,영양군,4776000000,유,97,108,129.1146222,36.664275
경상북도,의성군,4773000000,유,90,101,128.6993639,36.34975833
경상북도,청송군,4775000000,유,96,103,129.0594,36.43329167
